repo_id,owner,name,full_name,language,created_at,updated_at,stars,forks,open_issues,archived,age_days,html_url,star_band
143324737,diasurgical,DevilutionX,diasurgical/DevilutionX,C++,2018-08-02T17:19:01Z,2026-09-05T16:48:30Z,9713,1012,482,False,2955,https://github.com/diasurgical/DevilutionX,1K-10K
439491516,ange-yaghi,engine-sim,ange-yaghi/engine-sim,C++,2021-12-18T00:14:57Z,2026-09-05T07:42:08Z,9534,926,143,False,1722,https://github.com/ange-yaghi/engine-sim,1K-10K
6376337,pocoproject,poco,pocoproject/poco,C++,2012-10-24T19:39:16Z,2026-09-05T06:13:48Z,9484,2319,131,False,5063,https://github.com/pocoproject/poco,1K-10K
81634683,Oneflow-Inc,oneflow,Oneflow-Inc/oneflow,C++,2017-02-11T06:09:53Z,2026-09-04T06:13:30Z,9432,1013,645,False,3493,https://github.com/Oneflow-Inc/oneflow,1K-10K
23061798,scylladb,seastar,scylladb/seastar,C++,2014-08-18T07:01:07Z,2026-09-05T12:52:38Z,9356,1706,574,False,4401,https://github.com/scylladb/seastar,1K-10K
45717250,tensorflow,tensorflow,tensorflow/tensorflow,C++,2015-11-07T01:19:20Z,2026-09-05T16:51:46Z,198848,76258,3129,False,3955,https://github.com/tensorflow/tensorflow,50K+
612354784,ggml-org,llama.cpp,ggml-org/llama.cpp,C++,2023-03-10T18:58:00Z,2026-09-05T16:51:56Z,127145,22798,2417,False,1274,https://github.com/ggml-org/llama.cpp,50K+
9384267,electron,electron,electron/electron,C++,2013-04-12T01:47:36Z,2026-09-05T16:48:37Z,122893,17461,747,False,4894,https://github.com/electron/electron,50K+
15634981,godotengine,godot,godotengine/godot,C++,2014-01-04T16:05:36Z,2026-09-05T16:49:53Z,116636,26609,18846,False,4627,https://github.com/godotengine/godot,50K+
1181927,bitcoin,bitcoin,bitcoin/bitcoin,C++,2010-12-19T15:16:43Z,2026-09-05T15:16:50Z,90108,39382,730,False,5739,https://github.com/bitcoin/bitcoin,50K+
619959033,nomic-ai,gpt4all,nomic-ai/gpt4all,C++,2023-03-27T18:49:32Z,2026-09-05T15:36:51Z,77383,8291,771,False,1257,https://github.com/nomic-ai/gpt4all,50K+
22887094,tesseract-ocr,tesseract,tesseract-ocr/tesseract,C++,2014-08-12T18:04:59Z,2026-09-05T12:18:17Z,76349,10792,483,False,4406,https://github.com/tesseract-ocr/tesseract,50K+
23357588,protocolbuffers,protobuf,protocolbuffers/protobuf,C++,2014-08-26T15:52:15Z,2026-09-05T14:19:15Z,71999,16270,315,False,4393,https://github.com/protocolbuffers/protobuf,50K+
541269386,ggml-org,whisper.cpp,ggml-org/whisper.cpp,C++,2022-09-25T18:26:37Z,2026-09-05T16:13:43Z,53465,6133,1243,False,1440,https://github.com/ggml-org/whisper.cpp,50K+
11171548,nlohmann,json,nlohmann/json,C++,2013-07-04T08:47:49Z,2026-09-05T16:19:42Z,50543,7495,149,False,4811,https://github.com/nlohmann/json,50K+
131923664,monochromegane,smux,monochromegane/smux,Go,2018-05-03T01:13:39Z,2026-09-01T04:20:01Z,100,5,1,False,3047,https://github.com/monochromegane/smux,0-100
