repo_id,full_name,language,month,contributors,new_contributors,returning_contributors
7905539,koral--/android-gif-drawable,Java,2021-07,0,0,0
7905539,koral--/android-gif-drawable,Java,2021-08,1,1,0
7905539,koral--/android-gif-drawable,Java,2021-09,0,0,0
7905539,koral--/android-gif-drawable,Java,2021-10,0,0,0
7905539,koral--/android-gif-drawable,Java,2021-11,1,1,0
7905539,koral--/android-gif-drawable,Java,2021-12,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-01,1,0,1
7905539,koral--/android-gif-drawable,Java,2022-02,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-03,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-04,1,0,1
7905539,koral--/android-gif-drawable,Java,2022-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-06,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-07,1,0,1
7905539,koral--/android-gif-drawable,Java,2022-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2022-09,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-10,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-11,0,0,0
7905539,koral--/android-gif-drawable,Java,2022-12,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-01,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-02,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-03,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-04,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2023-07,1,0,1
7905539,koral--/android-gif-drawable,Java,2023-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2023-09,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-10,2,1,1
7905539,koral--/android-gif-drawable,Java,2023-11,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-12,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-01,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-02,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-03,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-04,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-06,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-07,1,0,1
7905539,koral--/android-gif-drawable,Java,2024-08,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-09,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-10,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-11,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-12,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-01,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-02,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-03,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-04,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-06,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-07,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-08,1,0,1
7905539,koral--/android-gif-drawable,Java,2025-09,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-10,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-11,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-12,1,0,1
7905539,koral--/android-gif-drawable,Java,2026-01,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-02,1,0,1
7905539,koral--/android-gif-drawable,Java,2026-03,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-04,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-05,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-06,1,0,1
7905539,koral--/android-gif-drawable,Java,2026-07,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-08,0,0,0
7905539,koral--/android-gif-drawable,Java,2026-09,0,0,0
11730342,vuejs/vue,TypeScript,2013-07,2,2,0
11730342,vuejs/vue,TypeScript,2013-08,2,0,2
11730342,vuejs/vue,TypeScript,2013-09,2,0,2
11730342,vuejs/vue,TypeScript,2013-10,2,0,2
11730342,vuejs/vue,TypeScript,2013-11,2,0,2
11730342,vuejs/vue,TypeScript,2013-12,2,0,2
11730342,vuejs/vue,TypeScript,2014-01,2,0,2
11730342,vuejs/vue,TypeScript,2014-02,5,3,2
11730342,vuejs/vue,TypeScript,2014-03,2,0,2
11730342,vuejs/vue,TypeScript,2014-04,3,0,3
11730342,vuejs/vue,TypeScript,2014-05,5,2,3
11730342,vuejs/vue,TypeScript,2014-06,6,4,2
11730342,vuejs/vue,TypeScript,2014-07,5,3,2
11730342,vuejs/vue,TypeScript,2014-08,4,2,2
11730342,vuejs/vue,TypeScript,2014-09,2,1,1
11730342,vuejs/vue,TypeScript,2014-10,3,2,1
11730342,vuejs/vue,TypeScript,2014-11,2,1,1
11730342,vuejs/vue,TypeScript,2014-12,2,1,1
11730342,vuejs/vue,TypeScript,2015-01,1,0,1
11730342,vuejs/vue,TypeScript,2015-02,4,3,1
11730342,vuejs/vue,TypeScript,2015-03,1,0,1
11730342,vuejs/vue,TypeScript,2015-04,6,5,1
11730342,vuejs/vue,TypeScript,2015-05,4,3,1
11730342,vuejs/vue,TypeScript,2015-06,7,5,2
11730342,vuejs/vue,TypeScript,2015-07,3,1,2
11730342,vuejs/vue,TypeScript,2015-08,8,5,3
11730342,vuejs/vue,TypeScript,2015-09,7,5,2
11730342,vuejs/vue,TypeScript,2015-10,8,5,3
11730342,vuejs/vue,TypeScript,2015-11,9,5,4
11730342,vuejs/vue,TypeScript,2015-12,10,9,1
11730342,vuejs/vue,TypeScript,2016-01,11,5,6
11730342,vuejs/vue,TypeScript,2016-02,6,4,2
11730342,vuejs/vue,TypeScript,2016-03,11,9,2
11730342,vuejs/vue,TypeScript,2016-04,18,15,3
11730342,vuejs/vue,TypeScript,2016-05,14,6,8
11730342,vuejs/vue,TypeScript,2016-06,17,11,6
11730342,vuejs/vue,TypeScript,2016-07,9,6,3
11730342,vuejs/vue,TypeScript,2016-08,9,7,2
11730342,vuejs/vue,TypeScript,2016-09,17,14,3
11730342,vuejs/vue,TypeScript,2016-10,19,11,8
11730342,vuejs/vue,TypeScript,2016-11,19,10,9
11730342,vuejs/vue,TypeScript,2016-12,17,7,10
11730342,vuejs/vue,TypeScript,2017-01,12,7,5
11730342,vuejs/vue,TypeScript,2017-02,22,15,7
11730342,vuejs/vue,TypeScript,2017-03,27,12,15
11730342,vuejs/vue,TypeScript,2017-04,18,9,9
11730342,vuejs/vue,TypeScript,2017-05,21,15,6
11730342,vuejs/vue,TypeScript,2017-06,18,11,7
11730342,vuejs/vue,TypeScript,2017-07,12,3,9
11730342,vuejs/vue,TypeScript,2017-08,6,2,4
11730342,vuejs/vue,TypeScript,2017-09,24,15,9
11730342,vuejs/vue,TypeScript,2017-10,24,12,12
11730342,vuejs/vue,TypeScript,2017-11,17,11,6
11730342,vuejs/vue,TypeScript,2017-12,15,5,10
11730342,vuejs/vue,TypeScript,2018-01,6,1,5
