repo_id,full_name,language,month,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed
7905539,koral--/android-gif-drawable,Java,2020-07,0,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2020-08,1,1,1,5,1
7905539,koral--/android-gif-drawable,Java,2020-09,1,0,0,2,4
7905539,koral--/android-gif-drawable,Java,2020-10,0,1,1,1,6
7905539,koral--/android-gif-drawable,Java,2020-11,1,1,0,0,0
7905539,koral--/android-gif-drawable,Java,2020-12,0,0,0,3,2
7905539,koral--/android-gif-drawable,Java,2021-01,0,0,0,2,3
7905539,koral--/android-gif-drawable,Java,2021-02,0,0,0,4,1
7905539,koral--/android-gif-drawable,Java,2021-03,1,1,1,2,1
7905539,koral--/android-gif-drawable,Java,2021-04,0,0,0,1,1
7905539,koral--/android-gif-drawable,Java,2021-05,0,0,0,0,1
7905539,koral--/android-gif-drawable,Java,2021-06,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2021-07,0,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2021-08,1,1,1,1,0
7905539,koral--/android-gif-drawable,Java,2021-09,0,0,0,2,0
7905539,koral--/android-gif-drawable,Java,2021-10,0,0,0,1,2
7905539,koral--/android-gif-drawable,Java,2021-11,4,3,1,4,4
7905539,koral--/android-gif-drawable,Java,2021-12,0,1,0,3,7
7905539,koral--/android-gif-drawable,Java,2022-01,1,1,1,1,1
7905539,koral--/android-gif-drawable,Java,2022-02,0,0,0,1,1
7905539,koral--/android-gif-drawable,Java,2022-03,0,0,0,1,1
7905539,koral--/android-gif-drawable,Java,2022-04,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2022-05,0,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2022-06,0,0,0,2,0
7905539,koral--/android-gif-drawable,Java,2022-07,2,1,1,3,6
7905539,koral--/android-gif-drawable,Java,2022-08,1,2,2,2,5
7905539,koral--/android-gif-drawable,Java,2022-09,0,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2022-10,1,0,0,2,2
7905539,koral--/android-gif-drawable,Java,2022-11,0,1,0,2,0
7905539,koral--/android-gif-drawable,Java,2022-12,1,1,0,1,0
7905539,koral--/android-gif-drawable,Java,2023-01,0,0,0,2,6
7905539,koral--/android-gif-drawable,Java,2023-02,0,0,0,1,1
7905539,koral--/android-gif-drawable,Java,2023-03,0,0,0,0,3
7905539,koral--/android-gif-drawable,Java,2023-04,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-05,1,0,0,1,1
7905539,koral--/android-gif-drawable,Java,2023-06,1,1,1,1,1
7905539,koral--/android-gif-drawable,Java,2023-07,1,1,1,3,2
7905539,koral--/android-gif-drawable,Java,2023-08,1,2,1,2,3
7905539,koral--/android-gif-drawable,Java,2023-09,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2023-10,4,3,2,0,0
7905539,koral--/android-gif-drawable,Java,2023-11,0,0,0,2,1
7905539,koral--/android-gif-drawable,Java,2023-12,0,0,0,2,0
7905539,koral--/android-gif-drawable,Java,2024-01,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-02,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2024-03,0,0,0,0,1
7905539,koral--/android-gif-drawable,Java,2024-04,0,0,0,2,1
7905539,koral--/android-gif-drawable,Java,2024-05,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-06,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-07,1,1,1,1,1
7905539,koral--/android-gif-drawable,Java,2024-08,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-09,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-10,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-11,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2024-12,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-01,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-02,0,0,0,1,0
7905539,koral--/android-gif-drawable,Java,2025-03,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-04,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-05,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-06,0,0,0,1,2
7905539,koral--/android-gif-drawable,Java,2025-07,0,0,0,0,0
7905539,koral--/android-gif-drawable,Java,2025-08,2,2,2,1,1
