repo_id,full_name,language,month,commits,contributors,new_contributors,returning_contributors,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed,is_partial_month,meaningful_activity,project_age_months,project_age_years,observation_month_index,commit_rate_6m,active_month_ratio_12m,commit_volatility_6m,zero_commit_streak,commit_trend_6m,avg_contributors_6m,contributor_volatility_6m,new_contributor_rate_6m,returning_contributor_rate_6m,contributor_zero_streak,contributor_trend_6m,avg_pr_opened_6m,avg_issues_opened_6m,pr_merge_rate_6m,pr_net_flow_6m,issue_net_flow_6m,pr_activity_trend_6m,issue_activity_trend_6m,collaboration_trend_6m,activity_total,activity_change_3m,inactivity_streak,longest_inactivity_gap,observation_month,inactive_within_12m
7905539,koral--/android-gif-drawable,Java,2013-10-01,13,2,0,2,0,0,0,3,3,False,True,9,0.75,10,5.333333333333333,0.6,8.477420991472977,0,3.4857142857142853,0.6666666666666666,1.0327955589886446,0.25,0.75,0,0.457142857142857,0.0,1.0,,0.0,1.0,0.0,1.2285714285714284,1.2285714285714284,21,,0,4,2013-10,0
10270250,react/react,JavaScript,2013-10-01,213,31,10,21,38,36,21,37,23,False,True,5,0.4166666666666667,6,185.66666666666663,1.0,92.277118868475,0,-3.200000000000001,22.83333333333333,6.274286147974658,0.5182481751824818,0.4817518248175182,0,2.771428571428572,45.16666666666666,31.666666666666668,0.7217741935483871,23.0,85.0,-4.057142857142859,6.314285714285711,2.257142857142852,399,-0.25,0,0,2013-10,0
11730342,vuejs/vue,TypeScript,2013-10-01,78,2,0,2,0,0,0,18,20,False,True,3,0.25,4,67.75,1.0,71.67693724855529,0,6.500000000000021,2.0,0.0,0.25,0.75,0,-2.3737566748887003e-16,0.0,6.75,,0.0,6.0,0.0,12.4,12.4,118,10.8,0,0,2013-10,0
7905539,koral--/android-gif-drawable,Java,2013-11-01,20,3,1,2,4,4,4,7,5,False,True,10,0.8333333333333334,11,8.666666666666666,0.6363636363636364,9.791152468768257,0,4.5142857142857125,1.1666666666666667,1.3291601358251257,0.2857142857142857,0.7142857142857143,0,0.6571428571428569,0.6666666666666666,2.1666666666666665,1.0,0.0,3.0,1.7142857142857135,2.3142857142857136,4.028571428571428,47,46.0,0,4,2013-11,0
10270250,react/react,JavaScript,2013-11-01,292,35,15,20,89,74,53,72,37,False,True,6,0.5,7,218.16666666666663,1.0,89.08741025906336,0,-5.742857142857156,26.666666666666668,5.278888771954442,0.4625,0.5375,0,2.3428571428571434,55.5,42.5,0.7033333333333334,33.0,117.0,0.9142857142857076,7.228571428571425,8.142857142857148,652,1.774468085106383,0,0,2013-11,0
11730342,vuejs/vue,TypeScript,2013-11-01,70,2,0,2,0,0,0,14,18,False,True,4,0.3333333333333333,5,68.2,1.0,62.08220356913888,0,3.699999999999998,2.0,0.0,0.2,0.8,0,-2.4323767777952483e-16,0.0,8.2,,0.0,2.0,0.0,10.2,10.2,104,-0.3772455089820359,0,0,2013-11,0
7905539,koral--/android-gif-drawable,Java,2013-12-01,18,1,0,1,0,0,0,7,8,False,True,11,0.9166666666666666,12,11.666666666666666,0.6666666666666666,9.352361555600098,0,4.114285714285714,1.3333333333333333,1.2110601416389968,0.25,0.75,0,0.3999999999999999,0.6666666666666666,3.333333333333333,1.0,0.0,2.0,1.0285714285714287,3.1428571428571423,4.171428571428571,34,0.36,0,4,2013-12,0
10270250,react/react,JavaScript,2013-12-01,370,37,16,21,98,107,79,50,49,False,True,7,0.5833333333333334,8,230.0,1.0,105.22547220136389,0,32.11428571428571,29.166666666666668,6.112828041640519,0.4342857142857143,0.5657142857142857,0,2.8857142857142835,60.66666666666666,44.16666666666666,0.6880466472303207,21.0,90.0,30.257142857142856,9.314285714285711,39.57142857142856,790,1.393939393939394,0,0,2013-12,0
11730342,vuejs/vue,TypeScript,2013-12-01,62,2,0,2,0,0,0,10,10,False,True,5,0.4166666666666667,6,67.16666666666667,1.0,55.58566961606801,0,1.2285714285714269,2.0,0.0,0.1666666666666666,0.8333333333333334,0,-2.3952390736185767e-16,0.0,8.5,,0.0,2.0,0.0,6.399999999999998,6.399999999999998,84,1.625,0,0,2013-12,0
7905539,koral--/android-gif-drawable,Java,2014-01-01,7,1,0,1,0,0,0,4,3,False,True,12,1.0,13,12.833333333333334,0.6666666666666666,7.935153852740769,0,1.1142857142857134,1.5,1.0488088481701516,0.2222222222222222,0.7777777777777778,0,0.0857142857142855,0.6666666666666666,4.0,1.0,0.0,3.0,0.3428571428571427,1.9714285714285715,2.314285714285714,15,-0.2857142857142857,0,4,2014-01,0
10270250,react/react,JavaScript,2014-01-01,321,57,31,26,136,112,83,99,77,False,True,8,0.6666666666666666,9,236.5,1.0,110.16850729677698,0,55.51428571428571,34.666666666666664,12.274635093014645,0.4423076923076923,0.5576923076923077,0,5.828571428571425,73.83333333333333,53.0,0.7042606516290727,44.0,95.0,53.85714285714283,24.314285714285703,78.17142857142855,885,1.218045112781955,0,0,2014-01,0
11730342,vuejs/vue,TypeScript,2014-01-01,45,2,0,2,0,0,0,11,8,False,True,6,0.5,7,73.33333333333333,1.0,49.41929447762955,0,-13.771428571428569,2.0,0.0,0.0,1.0,0,-2.3952390736185767e-16,0.0,10.333333333333334,,0.0,5.0,0.0,3.399999999999998,3.399999999999998,66,-0.4406779661016949,0,0,2014-01,0
7905539,koral--/android-gif-drawable,Java,2014-02-01,17,1,0,1,0,0,0,10,9,False,True,13,1.0833333333333333,14,15.666666666666666,0.6666666666666666,4.88535225614967,0,-0.8571428571428579,1.6666666666666667,0.816496580927726,0.2,0.8,0,-0.2857142857142856,0.6666666666666666,5.5,1.0,0.0,3.0,-0.3428571428571427,2.3142857142857136,1.971428571428571,37,-0.2127659574468085,0,4,2014-02,0
10270250,react/react,JavaScript,2014-02-01,308,37,16,21,109,101,74,87,72,False,True,9,0.75,10,272.6666666666667,1.0,85.7663492674526,0,36.62857142857141,36.5,11.519548602267362,0.4337899543378995,0.5662100456621004,0,4.428571428571426,85.83333333333333,63.333333333333336,0.7178947368421053,40.0,102.0,45.457142857142834,24.514285714285712,69.97142857142856,788,0.2085889570552147,0,0,2014-02,0
11730342,vuejs/vue,TypeScript,2014-02-01,118,5,3,2,11,11,5,79,75,False,True,7,0.5833333333333334,8,65.5,1.0,32.97119955354976,0,10.94285714285714,2.5,1.224744871391589,0.2,0.8,0,0.4285714285714284,1.8333333333333333,23.5,0.4545454545454545,0.0,9.0,3.857142857142856,18.599999999999994,22.45714285714285,304,1.9230769230769231,0,0,2014-02,0
7905539,koral--/android-gif-drawable,Java,2014-03-01,24,2,1,1,0,0,0,9,7,False,True,14,1.1666666666666667,15,16.5,0.6666666666666666,5.890670590009257,0,0.9999999999999996,1.6666666666666667,0.816496580927726,0.2,0.8,0,-0.1714285714285714,0.6666666666666666,6.666666666666667,1.0,0.0,5.0,-1.0285714285714285,1.7999999999999994,0.7714285714285709,42,0.2352941176470588,0,4,2014-03,0
10270250,react/react,JavaScript,2014-03-01,176,48,23,25,86,66,43,52,26,False,True,10,0.8333333333333334,11,280.0,1.0,72.13043740335975,0,-5.314285714285728,40.833333333333336,9.72453940640206,0.4530612244897959,0.5469387755102041,0,3.171428571428568,92.66666666666669,66.16666666666667,0.7116935483870968,60.0,113.0,21.45714285714285,9.057142857142852,30.51428571428572,497,-0.370886075949367,0,0,2014-03,0
11730342,vuejs/vue,TypeScript,2014-03-01,110,2,0,2,6,6,0,57,57,False,True,8,0.6666666666666666,9,80.5,1.0,28.26835686770633,0,8.2,2.5,1.224744871391589,0.2,0.8,0,0.2571428571428572,2.833333333333333,31.5,0.2941176470588235,0.0,1.0,4.0285714285714285,21.28571428571428,25.31428571428571,238,1.8333333333333333,0,0,2014-03,0
7905539,koral--/android-gif-drawable,Java,2014-04-01,9,2,0,2,0,0,0,7,7,False,True,15,1.25,16,15.833333333333334,0.75,6.554896388705672,0,-0.7714285714285711,1.6666666666666667,0.816496580927726,0.2,0.8,0,-0.057142857142857,0.6666666666666666,7.333333333333333,1.0,0.0,5.0,-1.7142857142857146,0.7142857142857147,-0.9999999999999996,25,0.6666666666666666,0,4,2014-04,0
10270250,react/react,JavaScript,2014-04-01,152,34,11,23,59,81,50,68,58,False,True,11,0.9166666666666666,12,269.8333333333333,1.0,86.35836188040314,0,-37.00000000000002,41.333333333333336,9.179687721631195,0.4516129032258064,0.5483870967741935,0,0.2285714285714288,96.16666666666669,71.33333333333333,0.7060998151571165,36.0,109.0,-12.685714285714296,0.1428571428571402,-12.54285714285715,502,-0.4327683615819209,0,0,2014-04,0
11730342,vuejs/vue,TypeScript,2014-04-01,10,3,0,3,1,1,1,35,30,False,True,9,0.75,10,69.16666666666667,1.0,40.46932995079936,0,-2.371428571428572,2.6666666666666665,1.2110601416389966,0.1875,0.8125,0,0.2285714285714285,3.0,34.333333333333336,0.3333333333333333,0.0,8.0,2.228571428571428,16.628571428571426,18.85714285714285,81,0.2272727272727272,0,0,2014-04,0
7905539,koral--/android-gif-drawable,Java,2014-05-01,17,3,1,2,2,2,1,4,3,False,True,16,1.3333333333333333,17,15.333333333333334,0.8333333333333334,6.282250127674531,0,0.2285714285714278,1.6666666666666667,0.816496580927726,0.2,0.8,0,0.3999999999999999,0.3333333333333333,6.833333333333333,0.5,0.0,4.0,0.714285714285714,-0.6285714285714283,0.0857142857142852,32,-0.1351351351351351,0,4,2014-05,0
10270250,react/react,JavaScript,2014-05-01,177,48,25,23,96,69,45,70,76,False,True,12,1.0,13,250.66666666666663,1.0,92.96379223475483,0,-45.82857142857144,43.5,8.916277250063496,0.4674329501915709,0.5325670498084292,0,-0.0857142857142866,97.33333333333331,71.0,0.6977611940298507,48.0,68.0,-25.199999999999992,0.1142857142857168,-25.085714285714317,581,-0.2626903553299492,0,0,2014-05,0
11730342,vuejs/vue,TypeScript,2014-05-01,13,5,2,3,6,5,3,32,26,False,True,10,0.8333333333333334,11,59.66666666666666,1.0,46.47866894250164,0,-10.228571428571428,3.1666666666666665,1.4719601443879744,0.2631578947368421,0.7368421052631579,0,0.4285714285714284,4.0,37.333333333333336,0.391304347826087,1.0,18.0,1.828571428571428,8.22857142857142,10.057142857142848,90,-0.7039473684210527,0,0,2014-05,0
7905539,koral--/android-gif-drawable,Java,2014-06-01,5,1,0,1,1,0,0,4,4,False,True,17,1.4166666666666667,18,13.166666666666666,0.9166666666666666,7.332575718440736,0,-0.7142857142857137,1.6666666666666667,0.816496580927726,0.2,0.8,0,0.1714285714285712,0.5,6.333333333333333,0.5,1.0,5.0,0.5714285714285714,-0.9428571428571424,-0.3714285714285717,15,-0.6428571428571429,0,4,2014-06,0
10270250,react/react,JavaScript,2014-06-01,128,31,12,19,52,76,40,83,56,False,True,13,1.0833333333333333,14,210.33333333333331,1.0,82.77358676937145,0,-39.485714285714266,42.5,10.05484957619953,0.4627450980392157,0.5372549019607843,0,-3.1714285714285757,89.66666666666667,76.5,0.6633663366336634,33.0,94.0,-29.77142857142856,-5.02857142857144,-34.799999999999976,466,-0.062374245472837,0,0,2014-06,0
11730342,vuejs/vue,TypeScript,2014-06-01,15,6,4,2,8,9,4,35,30,False,True,11,0.9166666666666666,12,51.833333333333336,1.0,49.84542774083363,0,-16.14285714285715,3.8333333333333335,1.7224014243685082,0.391304347826087,0.6086956521739131,0,0.5999999999999995,5.333333333333333,41.5,0.40625,0.0,23.0,1.6285714285714268,-3.0571428571428574,-1.4285714285714333,107,-0.5504201680672269,0,0,2014-06,0
7905539,koral--/android-gif-drawable,Java,2014-07-01,8,2,0,2,0,1,0,9,4,False,True,18,1.5,19,13.333333333333334,1.0,7.174027227901123,0,-2.685714285714285,1.8333333333333333,0.752772652709081,0.1818181818181818,0.8181818181818182,0,0.0857142857142857,0.5,7.166666666666667,0.3333333333333333,0.0,9.0,0.3714285714285713,-1.7428571428571404,-1.3714285714285714,24,-0.04,0,4,2014-07,0
10270250,react/react,JavaScript,2014-07-01,240,39,25,14,95,83,58,103,55,False,True,14,1.1666666666666667,15,196.83333333333331,1.0,66.02550012432063,0,-13.114285714285703,39.5,7.12039324756715,0.4725738396624472,0.5274261603375527,0,-0.7714285714285731,82.83333333333333,77.16666666666667,0.6512605042016807,21.0,120.0,-8.599999999999984,5.6571428571428575,-2.9428571428571675,673,0.3406374501992031,0,0,2014-07,0
11730342,vuejs/vue,TypeScript,2014-07-01,98,5,3,2,6,5,1,41,31,False,True,12,1.0,13,60.66666666666666,1.0,52.98930709743869,0,-10.914285714285716,4.333333333333333,1.5055453054181616,0.4615384615384615,0.5384615384615384,0,0.4000000000000001,6.333333333333333,46.5,0.3783783783783784,1.0,30.0,-1.0571428571428574,-16.114285714285717,-17.171428571428557,187,1.308641975308642,0,0,2014-07,0
7905539,koral--/android-gif-drawable,Java,2014-08-01,7,1,0,1,0,0,0,5,7,False,True,19,1.5833333333333333,20,11.666666666666666,1.0,7.312090444371339,0,-2.857142857142856,1.8333333333333333,0.752772652709081,0.1818181818181818,0.8181818181818182,0,-0.1999999999999997,0.5,6.333333333333333,0.3333333333333333,0.0,6.0,-0.0285714285714285,-0.6285714285714288,-0.6571428571428558,20,-0.375,0,4,2014-08,0
10270250,react/react,JavaScript,2014-08-01,185,38,22,16,84,65,42,71,57,False,True,15,1.25,16,176.33333333333334,1.0,37.56949116858869,0,7.428571428571427,39.66666666666666,7.0616334276615165,0.4957983193277311,0.5042016806722689,0,-1.4857142857142878,78.66666666666667,74.5,0.6318181818181818,32.0,119.0,2.171428571428573,9.685714285714292,11.857142857142833,542,-0.0671256454388984,0,0,2014-08,0
11730342,vuejs/vue,TypeScript,2014-08-01,171,4,2,2,4,4,2,26,22,False,True,13,1.0833333333333333,14,69.5,1.0,67.01865411958076,0,16.31428571428571,4.166666666666667,1.4719601443879742,0.44,0.56,0,0.4857142857142856,5.166666666666667,37.66666666666666,0.3666666666666666,1.0,30.0,0.6857142857142859,-8.628571428571426,-7.9428571428571395,233,1.5888888888888888,0,0,2014-08,0
